Index,School,Count of Acs,Percent Change of ACs Over 2022,Change in Count of Acs Over 2022,Classification
1,Public Affairs & Administration,28,154.5,17,Newark
2,Business,311,14.8,40,Newark
3,Law,94,-52.5,-104,Newark
4,Arts & Scienes,87,26.1,18,Newark
5,Criminal Justice,20,600,18,Newark
6,Law,63,-44.7,7,Camden
7,Business,53,600,24,Camden
8,The Graduate School - Camden,267,493.8,79,Camden
9,Nursing,15,0,0,Camden
10,Mason Gross School of the Arts,35,600,30,New Brunswick
11,Education,60,76.5,26,New Brunswick
12,The School of Graduate Studies,739,8.7,59,New Brunswick
13,Communication & Information ,55,120,30,New Brunswick
14,Applied & Professional Psychology,78,2.6,2,New Brunswick
15,Social Work,415,20.3,70,New Brunswick
16,Edward J. Bloustein School of Planning & Public Policy,59,13.5,7,New Brunswick
17,School of Management &Labor Relations,35,105.9,18,New Brunswick
18,Nursing,61,6100,61,New Brunswick
19,Public Health,0,0,0,New Brunswick
20,Graduate Century Program Max,279,121.4,153,What-if
21,Graduate New Programs Only,95,9500,95,What-if
