Age,Gender,Race,Domestic,Country,State,Program,Status,Index
27,Male,Asian,International,India,Andhra Pradesh,Biology: Computational and Integrative (MS),Unsubmitted,1
26,Male,White,Domestic,United States,New Jersey,Biology: Computational and Integrative (MS),Unsubmitted,2
32,Male,Black or African American,International,Nigeria,Ogun,Biology: Computational and Integrative (MS),Unsubmitted,3
22,Male,None Listed,International,India,Telangana,Biology: Computational and Integrative (MS),Unsubmitted,4
25,Female,None Listed,Domestic,United States,Arizona,Biology: Computational and Integrative (MS),Unsubmitted,5
21,Female,Asian,International,United States,Georgia,Biology: Computational and Integrative (MS),Unsubmitted,6
31,Female,Asian,International,United States,New Jersey,Biology: Computational and Integrative (MS),Unsubmitted,7
26,Male,White,Domestic,United States,New Jersey,Biology: Computational and Integrative (MS),Unsubmitted,8
22,Male,Asian,International,India,Haryana,Biology: Computational and Integrative (MS),Unsubmitted,9
22,Female,None Listed,Domestic,United States,New Jersey,Biology: Computational and Integrative (MS),Unsubmitted,10
23,Male,White,International,United States,Texas,Biology: Computational and Integrative (MS),Unsubmitted,11
21,Male,None Listed,Domestic,United States,New Jersey,Biology: Computational and Integrative (MS),Unsubmitted,12
26,Female,Asian,International,Nepal,None Listed,Biology: Computational and Integrative (MS),Submitted App,13
36,Female,White,International,"Iran, Islamic Republic Of",Razavi Khorasan,Biology: Computational and Integrative (MS),Submitted App,14
26,Male,Asian,International,India,Tamil Nadu,Biology: Computational and Integrative (MS),Incomplete,15
21,Female,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (MS),Incomplete,16
25,Male,Asian,International,China,Guangdong,Biology: Computational and Integrative (MS),Incomplete,17
22,Female,Black or African American,Domestic,United States,New Jersey,Biology: Computational and Integrative (MS),Incomplete,18
22,Female,Asian,International,Afghanistan,Pennsylvania,Biology: Computational and Integrative (MS),Incomplete,19
24,Female,Asian,International,India,Telangana,Biology: Computational and Integrative (MS),Incomplete,20
21,Female,White,Domestic,United States,New Jersey,Teacher Education (MAT),Submitted App,21
21,Female,Asian,International,United States,Pennsylvania,Biology: Computational and Integrative (MS),Incomplete,22
