index,Program,Total AC,Percent International,Category,Mid
1,Biology,18,66.7,STEM,50
2,Biology: Computational and Integrative,17,58.8,STEM,50
3,Business and Science,1,100,STEM,50
4,Chemistry,4,50,STEM,50
5,Childhood Studies,11,54.5,Children & Education,50
6,Computer Science,12,100,STEM,50
7,Creative Writing,7,14.3,Writing & English,50
8,Criminal Justice,14,28.6,"Criminal Justice, Prevention Science, Psychology",50
9,Data Science,79,93.7,STEM,50
10,Forensic Science,6,50,STEM,50
11,History,9,0,Humanities,50
12,Liberal Studies,4,0,Humanities,50
13,Mathematical Sciences,2,100,STEM,50
14,Prevention Science,12,50,"Criminal Justice, Prevention Science, Psychology",50
15,Psychology,10,50,"Criminal Justice, Prevention Science, Psychology",50
16,Public Administration,14,28.6,DPPA ,50
17,Public Affairs,6,16.7,DPPA ,50
18,Teacher Education,2,0,Children & Education,50
19,Teacher Education - Spanish,2,50,Children & Education,50
