Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_MEDHHINC
"34001","Atlantic","Atlantic, New Jersey","00","34","001",,,,,,74169
"34003","Bergen","Bergen, New Jersey","00","34","003",,,,,,113352
"34005","Burlington","Burlington, New Jersey","00","34","005",,,,,,105754
"34007","Camden","Camden, New Jersey","00","34","007",,,,,,85160
"34009","Cape May","Cape May, New Jersey","00","34","009",,,,,,80855
"34011","Cumberland","Cumberland, New Jersey","00","34","011",,,,,,69783
"34013","Essex","Essex, New Jersey","00","34","013",,,,,,77043
"34015","Gloucester","Gloucester, New Jersey","00","34","015",,,,,,101530
"34017","Hudson","Hudson, New Jersey","00","34","017",,,,,,76885
"34019","Hunterdon","Hunterdon, New Jersey","00","34","019",,,,,,140909
"34021","Mercer","Mercer, New Jersey","00","34","021",,,,,,99081
"34023","Middlesex","Middlesex, New Jersey","00","34","023",,,,,,105187
"34025","Monmouth","Monmouth, New Jersey","00","34","025",,,,,,114494
"34027","Morris","Morris, New Jersey","00","34","027",,,,,,130758
"34029","Ocean","Ocean, New Jersey","00","34","029",,,,,,83603
"34031","Passaic","Passaic, New Jersey","00","34","031",,,,,,74140
"34033","Salem","Salem, New Jersey","00","34","033",,,,,,82407
"34035","Somerset","Somerset, New Jersey","00","34","035",,,,,,133396
"34037","Sussex","Sussex, New Jersey","00","34","037",,,,,,114551
"34039","Union","Union, New Jersey","00","34","039",,,,,,93383
"34041","Warren","Warren, New Jersey","00","34","041",,,,,,99057
