Index,Age (Birthdate),Gender,Race,Domestic or INTL Applicant,Mailing Country,Mailing State/Province,Program Selection: Program Selection Name,Admissions Status
135,24,Female,Asian,International,United States,Connecticut,Biology (MS),Admit
136,22,Female,White,Domestic,United States,New Jersey,Biology (MS),Admit
137,25,Female,White,Domestic,United States,New York,Biology (MS),Admit
114,53,Male,White,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Admit
157,23,Male,Asian,International,United States,None Listed,Business and Science - Computer and Information Sciences (MBS) Camden,Admit
170,22,Female,Asian,Domestic,United States,Minnesota,Chemistry (MS),Admit
185,21,Female,Black or African American,Domestic,United States,New Jersey,Childhood Studies (MA),Admit
200,32,Female,Asian,International,China,Beijing,Childhood Studies (PHD),Admit
208,29,Male,Asian,International,India,Kerala,Childhood Studies (PHD),Admit
207,25,Female,Asian,International,India,West Bengal,Childhood Studies (PHD),Admit
199,34,Female,Asian,International,"Korea, Republic of",None Listed,Childhood Studies (PHD),Admit
203,29,Female,White,International,United States,Illinois,Childhood Studies (PHD),Admit
205,40,Female,White,Domestic,United States,Minnesota,Childhood Studies (PHD),Admit
202,51,Female,White,Domestic,United States,New Jersey,Childhood Studies (PHD),Admit
206,34,Female,Asian; White,Domestic,United States,New Jersey,Childhood Studies (PHD),Admit
201,24,Female,Asian,International,United States,New York,Childhood Studies (PHD),Admit
204,24,Female,White,Domestic,United States,New York,Childhood Studies (PHD),Admit
307,21,Male,Asian,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Admit
308,22,Female,Asian,International,India,Punjab,Computer Science: Scientific Computing (MS),Admit
305,24,Male,Asian,International,India,Tamil nadu,Computer Science: Scientific Computing (MS),Admit
306,22,Male,Asian,International,India,Uttar Pradesh,Computer Science: Scientific Computing (MS),Admit
448,27,Female,Asian,International,China,Guangdong,Creative Writing (MFA) Camden,Admit
451,27,Female,None Listed,Domestic,United States,Arkansas,Creative Writing (MFA) Camden,Admit
452,21,Female,White,Domestic,United States,Florida,Creative Writing (MFA) Camden,Admit
449,29,Male,Black or African American; White,Domestic,United States,Maryland,Creative Writing (MFA) Camden,Admit
450,27,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Admit
736,26,Female,Asian,International,China,Beijing,Data Science (MS),Admit
765,22,Male,Asian,International,China,Guangdong,Data Science (MS),Admit
763,22,Male,Asian,International,China,Henan,Data Science (MS),Admit
775,25,Female,Asian,International,China,Jiangsu,Data Science (MS),Admit
729,21,Male,None Listed,International,India,Andhra Pradesh,Data Science (MS),Admit
714,29,Female,Asian,International,India,Andhra Pradesh,Data Science (MS),Admit
780,23,Female,Asian,International,India,Andhra Pradesh,Data Science (MS),Admit
790,24,Male,Asian,International,India,Andhra Pradesh,Data Science (MS),Admit
715,24,Male,Asian,International,India,Delhi,Data Science (MS),Admit
741,21,Female,Asian,International,India,Gujarat,Data Science (MS),Admit
754,21,Male,Asian,International,India,Gujarat,Data Science (MS),Admit
759,21,Male,Asian,International,India,Gujarat,Data Science (MS),Admit
710,22,Female,Asian,International,India,Haryana,Data Science (MS),Admit
711,21,Female,Asian,International,India,Haryana,Data Science (MS),Admit
742,21,Male,Asian,International,India,Haryana,Data Science (MS),Admit
750,21,Male,Asian,International,India,Gujarat,Data Science (MS),Admit
738,22,Male,None Listed,International,India,Maharashtra,Data Science (MS),Admit
745,24,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
777,22,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
712,23,Female,Asian,International,India,Jammu And Kashmir,Data Science (MS),Admit
721,24,Female,Asian,International,India,Karnataka,Data Science (MS),Admit
735,23,Male,Asian,International,India,Karnataka,Data Science (MS),Admit
751,22,Male,Asian,International,India,Karnataka,Data Science (MS),Admit
760,21,Male,Asian,International,India,Karnataka,Data Science (MS),Admit
717,21,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
719,23,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
722,24,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
727,21,Female,Asian,International,India,Maharashtra,Data Science (MS),Admit
728,24,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
730,22,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
731,23,Female,Asian,International,India,Maharashtra,Data Science (MS),Admit
733,22,Male,None Listed,International,India,Maharashtra,Data Science (MS),Admit
734,23,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
737,22,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
739,24,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
740,22,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
743,22,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
746,21,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
755,21,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
766,21,Female,Asian,International,India,Maharashtra,Data Science (MS),Admit
767,21,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
768,20,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
769,21,Female,Asian,International,India,Maharashtra,Data Science (MS),Admit
773,21,Female,Asian,International,India,Maharashtra,Data Science (MS),Admit
778,21,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
784,22,Male,None Listed,International,India,Maharashtra,Data Science (MS),Admit
786,24,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
726,23,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit
756,21,Male,Asian,International,India,None Listed,Data Science (MS),Admit
757,21,Male,Asian,International,India,None Listed,Data Science (MS),Admit
764,23,Male,Asian,International,India,None Listed,Data Science (MS),Admit
781,21,Male,Asian,International,India,None Listed,Data Science (MS),Admit
785,21,Male,Asian,International,India,None Listed,Data Science (MS),Admit
787,26,Male,Asian,International,India,None Listed,Data Science (MS),Admit
789,24,Female,Asian,International,India,None Listed,Data Science (MS),Admit
782,25,Male,Asian,International,India,Orissa,Data Science (MS),Admit
758,22,Male,Asian,International,India,Rajasthan,Data Science (MS),Admit
744,23,Female,Asian,International,India,Tamil Nadu,Data Science (MS),Admit
749,21,Male,Asian,International,India,Tamil Nadu,Data Science (MS),Admit
753,24,Male,Asian,International,India,Tamil Nadu,Data Science (MS),Admit
783,21,Male,Asian,International,India,Tamil Nadu,Data Science (MS),Admit
718,21,Male,Asian,International,India,Telangana,Data Science (MS),Admit
770,21,Female,Asian,International,India,Telangana,Data Science (MS),Admit
732,27,Male,Asian,International,India,Uttar Pradesh,Data Science (MS),Admit
761,26,Male,Asian,International,India,Uttar Pradesh,Data Science (MS),Admit
713,22,Female,Asian,International,India,West Bengal,Data Science (MS),Admit
723,23,Male,Asian,International,India,West Bengal,Data Science (MS),Admit
748,21,Female,Asian,International,India,West Bengal,Data Science (MS),Admit
720,31,Female,Asian,International,"Korea, Republic of",Gyeonggi-do,Data Science (MS),Admit
747,26,Male,Asian,International,United States,California,Data Science (MS),Admit
772,21,Male,Asian,Domestic,United States,California,Data Science (MS),Admit
725,30,Male,None Listed,Domestic,United States,Maryland,Data Science (MS),Admit
