index,Gender,Race,Age,Created Date,Mailing Zip/Postal Code,Domestic,Country,State,Program,Status,Index
0,Male,Asian,32,2/23/2023,2001,International,Afghanistan,Paktya,Public Administration - On Campus (MPA),Submitted App,1
1,Female,Asian,22,1/12/2023,17603-2655,International,Afghanistan,Pennsylvania,Biology: Computational and Integrative (MS),Complete App,2
2,Female,White,21,12/27/2022,96,International,Armenia,Yerevan,Creative Writing (MFA) Camden,Complete App,3
3,Female,White,54,12/5/2022,2611,International,Australia,Australian Capital Territory,Creative Writing (MFA) Camden,Complete App,4
4,Female,Asian,23,1/14/2023,3167,International,Australia,Victoria,Computer Science: Scientific Computing (MS),Complete App,5
5,Female,Black or African American,35,11/22/2022,,International,Bahamas,None Listed,Prevention Science (PHD),Complete App,6
6,Male,Asian,23,2/12/2023,1430,International,Bangladesh,Dhaka,Biology: Computational and Integrative (PHD),Submitted App,7
7,Female,Asian,23,1/20/2023,1000,International,Bangladesh,Dhaka,Data Science (MS),Started App,8
8,Female,Asian,24,1/21/2023,1217,International,Bangladesh,Dhaka,Data Science (MS),Started App,9
9,Female,Asian,29,1/11/2023,1236,International,Bangladesh,Dhaka,Mathematical Sciences (MS),Admit,10
10,Male,Asian,24,2/8/2023,6752,International,Bangladesh,Rajshahi Division,Biology: Computational and Integrative (PHD),Complete App,11
11,Female,Asian,28,2/21/2022,4216,International,Bangladesh,None Listed,Biology: Computational and Integrative (PHD),Complete App,12
12,Male,Asian,24,2/16/2023,3230,International,Bangladesh,Sylhet Division,Data Science (MS),Admit-Coming,13
13,Male,Asian,24,2/21/2023,5110,International,Bangladesh,None Listed,Biology: Computational and Integrative (MS),Complete App,14
14,Male,Asian,28,3/4/2023,1209,International,Bangladesh,None Listed,Biology: Computational and Integrative (MS),Complete App,15
15,Male,Asian,26,12/14/2022,1200,International,Bangladesh,None Listed,Biology: Computational and Integrative (PHD),Started App,16
16,Male,Asian,28,2/5/2023,2300,International,Bangladesh,None Listed,Biology: Computational and Integrative (PHD),Complete App,17
17,Male,Asian,25,12/10/2022,1216,International,Bangladesh,None Listed,Data Science (MS),Complete App,18
18,Male,Asian,26,12/7/2022,3560,International,Bangladesh,None Listed,Data Science (MS),Denied,19
19,Female,Asian,25,1/12/2023,1203,International,Bangladesh,None Listed,English (MA),Started App,20
20,Female,Asian,34,2/10/2023,3500,International,Bangladesh,None Listed,Mathematical Sciences (MS),Submitted App,21
21,Male,Asian,28,12/2/2022,1206,International,Bangladesh,None Listed,Psychology: Psychological Sciences (MA),Started App,22
22,Male,Asian,46,12/31/2021,3223,International,Bangladesh,None Listed,Public Affairs/Community Development (PHD),Denied,23
23,Female,Two or More,23,12/19/2021,86010-150,International,Brazil,Paraná,Childhood Studies (PHD),Started App,24
24,Female,Black or African American,29,1/29/2022,Ouaga 01,International,Burkina Faso,Kadiogo,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,25
25,Female,White,19,2/12/2023,0,International,Burundi,Bujumbura mairie,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,26
26,Female,Asian,25,2/22/2023,V5H0J8,International,Canada,British Columbia,Prevention Science (MS),Complete App,27
27,Female,Asian,22,2/22/2023,V6T 1Z2,International,Canada,British Columbia,Prevention Science (MS),Complete App,28
28,Female,Asian,22,2/27/2023,V6T 1Z2,International,Canada,British Columbia,Psychology: Psychological Sciences (MA),Complete App,29
29,Female,Asian,22,12/27/2022,M5S 3K4,International,Canada,Ontario,Mathematical Sciences (MS),Submitted App,30
30,Female,White,29,12/17/2022,M6C2L3,International,Canada,Ontario,Public Affairs/Community Development (PHD),Admit,31
31,Female,Asian,22,3/1/2023,L5A 4B6,International,Canada,Ontario,Childhood Studies (MA),Complete App,32
32,Female,Asian,22,2/27/2023,L6Z 4L8,International,Canada,Ontario,Prevention Science (PHD),Complete App,33
33,Female,Asian,22,3/1/2023,L5A 4B6,International,Canada,Ontario,Psychology: Psychological Sciences (MA),Complete App,34
34,Female,Asian,21,1/13/2023,H2K 0C5,International,Canada,QC,Psychology: Psychological Sciences (MA),Started App,35
35,Male,White,26,2/27/2023,J6W4S8,International,Canada,QC,Biology: Computational and Integrative (PHD),Submitted App,36
36,Female,White,22,2/27/2023,H3X3B4,International,Canada,Quebec,Psychology: Psychological Sciences (MA),Complete App,37
37,Male,None Listed,21,9/19/2022,T2V 4B3,International,Canada,None Listed,Biology: Computational and Integrative (PHD),Complete App,38
38,Female,Asian,27,2/5/2023,100875,International,China,Beijing,Psychology: Psychological Sciences (MA),Complete App,39
39,Female,Asian,32,7/19/2022,,International,China,Beijing,Childhood Studies (PHD),Admit,40
40,Female,Asian,26,11/26/2022,100085,International,China,Beijing,Data Science (MS),Admit,41
41,Female,Asian,22,12/23/2022,100028,International,China,Beijing,Psychology: Psychological Sciences (MA),Started App,42
42,Female,Asian,21,12/29/2022,100020,International,China,Beijing,Public Affairs/Community Development (MS),Submitted App,43
43,Male,None Listed,23,1/3/2023,400065,International,China,Chongqing,Computer Science: Scientific Computing (MS),Started App,44
44,Male,Asian,22,12/10/2022,,International,China,Hubei,Data Science (MS),Denied,45
45,Female,Asian,22,1/23/2023,361004,International,China,Fujian,Computer Science: Scientific Computing (MS),Complete App,46
