City,State,Lat,Long,Country,Date Started App,Date Submitted App,Program,Status
Abaam,Kwaebibirem Municipal District,6.217532,-0.831562,Ghana,44867,44887,Chemistry (MS),Complete App
Abeokuta,Ogun,7.1608,3.3483,Nigeria,44821,44862,Biology: Computational and Integrative (PHD),Admit-Coming
Aberdeen,New Jersey,45.4649,-98.4686,United States,44966,44966,Forensic Science (MS),Admit-Coming
Abington,Pennsylvania,40.1108,-75.1146,United States,44878,44895,Prevention Science (MS),Admit
Absecon,New Jersey,39.4229,-74.4944,United States,44837,44895,Prevention Science (PHD),Denied
Abu Dhabi,Abu Dhabi,24.4667,54.3667,United Arab Emirates,44835,44891,Biology (MS),Admit
Abuja,Federal Capital Territory,9.0667,7.4833,Nigeria,44807,44843,Biology (MS),Admit-Coming
Abuja,Federal Capital Territory,9.0667,7.4833,Nigeria,44881,,Chemistry (MS),Started App
Abuja,Federal Capital Territory,9.0667,7.4833,Nigeria,44842,44895,Chemistry (MS),Complete App
Abuja,Federal Capital Territory,9.0667,7.4833,Nigeria,44575,,Childhood Studies (PHD),Started App
Abuja,Federal Capital Territory,9.0667,7.4833,Nigeria,44979,,Data Science (MS),Started App
Abuja,Federal Capital Territory,9.0667,7.4833,Nigeria,44893,44896,Forensic Science (MS),Admit
Abuja,Federal Capital Territory,9.0667,7.4833,Nigeria,44807,44843,Prevention Science (MS),Denied
Abule- Egba,Lagos,6.679611,3.303726,Nigeria,44623,44893,Prevention Science (PHD),Denied
Accra,Greater Accra,5.55,-0.2,Ghana,44957,44957,Biology: Computational and Integrative (MS),Complete App
Accra,Greater Accra,5.55,-0.2,Ghana,44872,44887,Biology: Computational and Integrative (MS),Denied
Accra,Greater Accra,5.55,-0.2,Ghana,44943,,Business and Science - Computer and Information Sciences (MBS) Camden,Started App
Accra,Greater Accra,5.55,-0.2,Ghana,44881,44894,Chemistry (MS),Complete App
Accra,Greater Accra,5.55,-0.2,Ghana,44895,44896,Chemistry (MS),Complete App
Accra,Greater Accra,5.55,-0.2,Ghana,44540,44572,Chemistry (MS),Admit-Coming
Accra,Greater Accra,5.55,-0.2,Ghana,44889,44899,Chemistry (MS),Admit-Coming
Accra,Greater Accra,5.55,-0.2,Ghana,44840,44908,Chemistry (MS),Denied
Accra,Greater Accra,5.55,-0.2,Ghana,44988,,Computer Science: Scientific Computing (MS),Started App
Accra,Greater Accra,5.55,-0.2,Ghana,44915,44940,Creative Writing (MFA) Camden,Denied
Accra,Greater Accra,5.55,-0.2,Ghana,44862,,Data Science (MS),Started App
Accra,Greater Accra,5.55,-0.2,Ghana,44949,,Data Science (MS),Started App
Accra,Greater Accra,5.55,-0.2,Ghana,44846,44855,English (MA),Admit-Coming
Accra,Greater Accra,5.55,-0.2,Ghana,44866,44900,English (MA),Denied
Accra,Greater Accra,5.55,-0.2,Ghana,44944,44946,Forensic Science (MS),Admit-Coming
Accra,Greater Accra,5.55,-0.2,Ghana,45000,45000,Forensic Science (MS),Admit-Coming
Accra,Greater Accra,5.55,-0.2,Ghana,44957,44957,Prevention Science (MS),Complete App
